HMS,StructuredFormula,Temperature,Pressure,crystal_system
P 4/n m m Z,La0.998Ca0.002Mn1As1O1,300,0.101325,tetragonal
P 4/m m m,Pr1Ba1Mn1Fe1O5,293,0.101325,tetragonal
P 4/m m m,Pr1Ba1Mn1Fe1O6,293,0.101325,tetragonal
I 4/m m m,K7Mn1V13O56H36,293,0.101325,tetragonal
I 4/m m m,Sr1Pr1Co0.5Mn0.5O4,293,0.101325,tetragonal
I 4/m m m,Sr1Nd1Co0.5Mn0.5O4,293,0.101325,tetragonal
I 4/m m m,Sr1Pr1Co0.5Mn0.5O4,300,0.101325,tetragonal
I 4/m m m,Sr1Nd1Co0.5Mn0.5O4,300,0.101325,tetragonal
I 4/m c m,La0.5Sr0.5Mn0.99Cu0.01O3,293,0.101325,tetragonal
I 4/m c m,La0.5Sr0.5Mn0.98Cu0.02O3,293,0.101325,tetragonal
I 4/m c m,La0.5Sr0.5Mn0.97Cu0.03O3,293,0.101325,tetragonal
I 4/m c m,La0.5Sr0.5Mn0.96Cu0.04O3,293,0.101325,tetragonal
I 4/m c m,La0.5Sr0.5Mn0.95Cu0.05O3,293,0.101325,tetragonal
I 4/m c m,La0.5Sr0.5Mn0.94Cu0.06O3,293,0.101325,tetragonal
I 4/m c m,La0.5Sr0.5Mn0.93Cu0.07O3,293,0.101325,tetragonal
I 4/m c m,La0.5Sr0.5Mn0.92Cu0.08O3,293,0.101325,tetragonal
I 4/m c m,La0.5Sr0.5Mn0.91Cu0.09O3,293,0.101325,tetragonal
I 4/m c m,La0.5Sr0.5Mn0.9Cu0.1O3,298,0.101325,tetragonal
I 4/m m m,La1.2Sr1.44Ca0.36Mn2O7,300,0.101325,tetragonal
I 4/m m m,La1.2Sr1.08Ca0.7200000000000001Mn2O7,300,0.101325,tetragonal
I 4/m m m,La0.96Nd0.24Sr1.8Mn2O7,300,0.101325,tetragonal
I 4/m m m,La0.72Nd0.48Sr1.8Mn2O7,300,0.101325,tetragonal
P 42/m b c,Pb1Bi1Fe0.95Mn0.05O4,293,0.101325,tetragonal
P 42/m b c,Pb1Bi1Fe0.9Mn0.1O4,293,0.101325,tetragonal
P 42/m b c,Pb1Bi1Fe0.85Mn0.15O4,293,0.101325,tetragonal
I 4/m m m,La1.4Sr1Ca0.6Mn2O7,293,0.101325,tetragonal
I 4/m m m,La1.2Sr1Ca0.8Mn2O7,293,0.101325,tetragonal
I 4/m m m,La1Sr1Ca1Mn2O7,293,0.101325,tetragonal
I 4/m m m,La0.8Sr1Ca1.2Mn2O7,293,0.101325,tetragonal
I 4/m,Sr2Fe0.75Mn0.25Mo1O6,300,0.101325,tetragonal
P 42/n m c Z,Na1Sm1Mn2Ti4O12,295,0.101325,tetragonal
P 42/n m c Z,Na1Eu1Mn2Ti4O12,295,0.101325,tetragonal
P 42/n m c Z,Na1Gd1Mn2Ti4O12,295,0.101325,tetragonal
P 42/n m c Z,Na1Dy1Mn2Ti4O12,295,0.101325,tetragonal
P 42/n m c Z,Na1Y1Mn2Ti4O12,295,0.101325,tetragonal
P 42/n m c Z,Na1Ho1Mn2Ti4O12,295,0.101325,tetragonal
P 42/n m c Z,Na1Dy1.008Mn1.992Ti4O12,295,0.101325,tetragonal
I 41/a m d Z,Cu0.6Mn1.68Ni0.48Co0.24O4,293,0.101325,tetragonal
I 4/m m m,La1.2Ba1.8Mn1.9Ru0.1O7,300,0.101325,tetragonal
I 4/m m m,La1.2Ba1.8Mn1.5Ru0.5O7,300,0.101325,tetragonal
I 4/m m m,La1.2Ba1.8Mn1Ru1O7,300,0.101325,tetragonal
I 4/m m m,Pr1.5Sr1.5Cu1Mn1O6.5,293,0.101325,tetragonal
I 4/m m m,La1Sr2Co1Mn1O7,293,0.101325,tetragonal
I 4/m m m,La1.5Sr1.5Mn1.25Ni0.75O6.67,293,0.101325,tetragonal
P -4 2 m,K1La1Mn1W1O6,293,0.101325,tetragonal
I 4/m c m,Sr0.95La1Mn1Ti1O6,298,0.101325,tetragonal
I 4/m c m,Sr0.88La1Mn1Ti1O6,298,0.101325,tetragonal
I 4/m c m,Sr0.85La1Mn1Ti1O6,298,0.101325,tetragonal
I 4/m m m,La1.5Sr1.5Cu1Mn1O6.67,293,0.101325,tetragonal
I 4/m m m,La1.15Sr1.8Tb0.05Mn2O7,293,0.101325,tetragonal
I 4/m m m,La1.05Sr1.8Tb0.15Mn2O7,293,0.101325,tetragonal
I 4/m m m,La1Sr1.8Tb0.2Mn2O7,293,0.101325,tetragonal
I 4/m m m,Sr2Mn1O2Cu1.61Se2,293,0.101325,tetragonal
I 4/m m m,La1.2Sr0.9Ca0.9Mn2O7,300,0.101325,tetragonal
I 4/m m m,La1Sr2Co1Mn1O7.011,293,0.101325,tetragonal
I 4/m m m,La1Sr2Co1Mn1O6.943,293,0.101325,tetragonal
I 4/m m m,La2Sm0.4Sr0.6Mn2O7,293,0.101325,tetragonal
I 4/m m m,Sr2Sc0.997Mn0.003O3F1,293,0.101325,tetragonal
I 4/m,Sr1.98Bi0.02Mn1Mo1O6,293,0.101325,tetragonal
