UID,Chemical,Time,Temperature,P2O3ratio,Cat_Success,Na,Cu,O,Fe,Mn,Ni,Cu_avg_ox_state,Cu_avg_ionic_radius,Cu_ionic_potential,Cu_ox_state_range,Cu_avg_d_electrons,Fe_avg_ox_state,Fe_avg_ionic_radius,Fe_ionic_potential,Fe_ox_state_range,Fe_avg_d_electrons,Mn_avg_ox_state,Mn_avg_ionic_radius,Mn_ionic_potential,Mn_ox_state_range,Mn_avg_d_electrons,Ni_avg_ox_state,Ni_avg_ionic_radius,Ni_ionic_potential,Ni_ox_state_range,Ni_avg_d_electrons
U00046,NaCuO2,6,950,-1.0,Unsuccessful,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,,,,,,,,,,
U00047,NaFeO2,6,950,-1.0,Unsuccessful,1.0,0.0,2.0,1.0,0.0,0.0,,,,,,3.0,0.785,3.821656050955414,0.0,5.0,,,,,,,,,,
U00048,NaMnO2,6,950,0.81,Successful,1.0,0.0,2.0,0.0,1.0,0.0,,,,,,,,,,,3.0,0.785,3.821656050955414,0.0,4.0,,,,,
U00049,NaNiO2,6,950,-1.0,Unsuccessful,1.0,0.0,2.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,3.0,0.725,4.137931034482759,2.0,7.0
U00050,NaCu0.5Fe0.5O2,6,950,-1.0,Unsuccessful,1.0,0.5,2.0,0.5,0.0,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,3.0,0.785,3.821656050955414,0.0,5.0,,,,,,,,,,
U00051,NaCu0.5Mn0.5O2,6,950,1.0,Successful,1.0,0.5,2.0,0.0,0.5,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,4.0,0.67,5.970149253731343,0.0,3.0,,,,,
U00052,NaCu0.5Ni0.5O2,6,950,-1.0,Unsuccessful,1.0,0.5,2.0,0.0,0.0,0.5,2.0,0.87,2.2988505747126435,0.0,9.0,,,,,,,,,,,4.0,0.62,6.451612903225807,0.0,6.0
U00053,NaFe0.5Mn0.5O2,6,950,1.0,Successful,1.0,0.0,2.0,0.5,0.5,0.0,,,,,,3.0,0.785,3.821656050955414,0.0,5.0,3.0,0.785,3.821656050955414,0.0,4.0,,,,,
U00054,NaFe0.5Ni0.5O2,6,950,-1.0,Unsuccessful,1.0,0.0,2.0,0.5,0.0,0.5,,,,,,2.0,0.92,2.1739130434782608,0.0,6.0,,,,,,4.0,0.62,6.451612903225807,0.0,6.0
U00055,NaMn0.5Ni0.5O2,6,950,1.0,Successful,1.0,0.0,2.0,0.0,0.5,0.5,,,,,,,,,,,2.0,0.97,2.061855670103093,0.0,5.0,4.0,0.62,6.451612903225807,0.0,6.0
U00056,NaCu1/3Fe1/3Mn1/3O2,6,950,1.0,Successful,1.0,0.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.0,2.0,0.87,2.2988505747126435,0.0,9.0,3.0,0.785,3.821656050955414,0.0,5.0,4.0,0.67,5.970149253731343,0.0,3.0,,,,,
U00057,NaCu1/3Fe1/3Ni1/3O2,6,950,-1.0,Unsuccessful,1.0,0.3333333333333333,2.0,0.3333333333333333,0.0,0.3333333333333333,2.0,0.87,2.2988505747126435,0.0,9.0,3.0,0.785,3.821656050955414,0.0,5.0,,,,,,4.0,0.62,6.451612903225807,0.0,6.0
